Location,Detail Link,Image Name,Price,Property Type,Photo Count,Broker,Beds,Baths,Sqft,Lot Size
"136 18 Maple Ave Unit 9A, Flushing, NY",https://www.estately.com/listings/info/136-18-maple-ave-flushing-ny-11355,136_18_Maple_Ave_Unit9A_Flushing_NY.jpg,"$799,000",Condo For Sale,25 photos,Grand Brilliant Realty Inc,1,1,636,
"37 56 87 Street Unit 2G, Jackson Heights, NY",https://www.estately.com/listings/info/37-56-87-street-jackson-heights-ny-11372--3,37_56_87_Street_Unit2G_Jackson_Heights_NY.jpg,"$345,000",House For Sale,18 photos,EXP Realty,1,1,–,
"23 35 99th Street, E. Elmhurst, NY",https://www.estately.com/listings/info/23-35-99th-street-e-elmhurst-ny-11369,23_35_99th_Street_E_Elmhurst_NY.jpg,"$900,000",House For Sale,21 photos,Braithwaite Realty LLC,3,3,"1,304","4,400"
"43 10 48th Avenue Unit 3B, Woodside, NY",https://www.estately.com/listings/info/43-10-48th-avenue-woodside-ny-11377--20,43_10_48th_Avenue_Unit3B_Woodside_NY.jpg,"$549,000",House For Sale,35 photos,RealTegrity NY LLC,2,1,–,
"48 06 28th Avenue, Long Island City, NY",https://www.estately.com/listings/info/48-06-28th-avenue-long-island-city-ny-11103,48_06_28th_Avenue_Long_Island_City_NY.jpg,"$1,759,000",Multifamily For Sale,36 photos,Halvatzis Realty Inc,5,3,–,"1,520"
"5430 Kings Hwy, East Flatbush, NY",https://www.estately.com/listings/info/5430-kings-hwy-east-flatbush-ny-11203,5430_Kings_Hwy_East_Flatbush_NY.jpg,"$598,000",House For Sale,16 photos,RE/MAX Edge,3,2,"2,093","2,024"
"147 14 130th Avenue, Jamaica, NY",https://www.estately.com/listings/info/147-14-130th-avenue-jamaica-ny-11436,147_14_130th_Avenue_Jamaica_NY.jpg,"$499,990",House For Sale,2 photos,RE/MAX Southshore Realty,2,2,–,"2,000"
"162 35 99th Street, Howard Beach, NY",https://www.estately.com/listings/info/162-35-99th-street-howard-beach-ny-11414,162_35_99th_Street_Howard_Beach_NY.jpg,"$1,089,000",House For Sale,25 photos,Sovereign Realty of NY Inc,5,3,"2,580","3,680"
"39 75 56th St Unit 6E, Woodside, NY",https://www.estately.com/listings/info/39-75-56th-st-woodside-ny-11377--2,39_75_56th_St_Unit6E_Woodside_NY.jpg,"$365,000",House For Sale,12 photos,Keller Williams Landmark II,1,1,–,
"49 14 111th Street, Corona, NY",https://www.estately.com/listings/info/49-14-111th-street-corona-ny-11368--2,49_14_111th_Street_Corona_NY.jpg,"$1,050,000",House For Sale,1 photo,Century Homes Realty Group LLC,3,2,–,"2,500"
"150 25 72 Road Unit 1D, Kew Garden Hills, NY",https://www.estately.com/listings/info/150-25-72-road-kew-garden-hills-ny-11367--5,150_25_72_Road_Unit1D_Kew_Garden_Hills_NY.jpg,"$285,000",House For Sale,1 photo,Goldstone N Y Realty LLC,1,1,–,
"2319 Bruner Avenue, BRONX, NY",https://www.estately.com/listings/info/2319-bruner-avenue-bronx-ny-10469--1,2319_Bruner_Avenue_BRONX_NY.jpg,"$739,000",House For Sale,19 photos,Exit Realty DKC,3,3,"1,612","2,740"
"118 66 Metropolitan Avenue Unit 2G, Kew Gardens, NY",https://www.estately.com/listings/info/118-66-metropolitan-avenue-kew-gardens-ny-11415--33,118_66_Metropolitan_Avenue_Unit2G_Kew_Gardens_NY.jpg,"$279,000",House For Sale,1 photo,Prime Realty,2,1,850,
"83 74 Talbot Street Unit 2-A, Kew Gardens, NY",https://www.estately.com/listings/info/83-74-talbot-street-kew-gardens-ny-11415--9,83_74_Talbot_Street_Unit2A_Kew_Gardens_NY.jpg,"$475,000",House For Sale,10 photos,WRL Realty LLC,2,1,"1,000",
"337 Bay 10th Street, Dyker Heights, NY",https://www.estately.com/listings/info/337-bay-10th-street-dyker-heights-ny-11228,337_Bay_10th_Street_Dyker_Heights_NY.jpg,"$1,350,000",Multifamily For Sale,25 photos,Winzone Realty Inc,5,3,–,"1,740"
"158 04 79th Street, Howard Beach, NY",https://www.estately.com/listings/info/158-04-79th-street-howard-beach-ny-11414,158_04_79th_Street_Howard_Beach_NY.jpg,"$1,200,000",House For Sale,7 photos,Exit Realty United,3,3,–,"4,800"
"157 46 12th Road, Beechhurst, NY",https://www.estately.com/listings/info/157-46-12th-road-beechhurst-ny-11357,157_46_12th_Road_Beechhurst_NY.jpg,"$1,185,000",House,1 photo,Douglas Elliman Real Estate,3,2,"1,300","4,000"
"90 09 Northern Boulevard Unit 605, Jackson Heights, NY",https://www.estately.com/listings/info/90-09-northern-boulevard-jackson-heights-ny-11372--12,90_09_Northern_Boulevard_Unit605_Jackson_Heights_NY.jpg,"$229,000",House For Sale,12 photos,Winzone Realty Inc,1,1,–,
"190 14 37th Avenue, Flushing, NY",https://www.estately.com/listings/info/190-14-37th-avenue-flushing-ny-11358,190_14_37th_Avenue_Flushing_NY.jpg,"$1,149,000",Multifamily For Sale,19 photos,Keller Williams Realty Greater,3,2,"2,000","2,900"
"78 06 46th Avenue Unit 4G, Elmhurst, NY",https://www.estately.com/listings/info/78-06-46th-avenue-elmhurst-ny-11373--7,78_06_46th_Avenue_Unit4G_Elmhurst_NY.jpg,"$295,000",House For Sale,1 photo,New Group Realty Inc,1,1,–,
"2162 Story Avenue, BRONX, NY",https://www.estately.com/listings/info/2162-story-avenue-bronx-ny-10473,2162_Story_Avenue_BRONX_NY.jpg,"$299,000",Land For Sale,9 photos,Park Sterling Realty,–,–,–,"2,575"
"3512 Oxford Avenue Unit 2F, BRONX, NY",https://www.estately.com/listings/info/3512-oxford-avenue-bronx-ny-10463--26,3512_Oxford_Avenue_Unit2F_BRONX_NY.jpg,"$375,000",House For Sale,21 photos,Brown Harris Stevens,2,1,850,
"26 15 Parsons Boulevard Unit 1C, Flushing, NY",https://www.estately.com/listings/info/26-15-parsons-boulevard-flushing-ny-11354--9,26_15_Parsons_Boulevard_Unit1C_Flushing_NY.jpg,"$318,000",House For Sale,15 photos,Prospes Real Estate Corp,2,1,950,
"84 50 169th Street Unit 300, Jamaica Hills, NY",https://www.estately.com/listings/info/8540-169-jamaica-hills-ny-11432,84_50_169th_Street_Unit300_Jamaica_Hills_NY.jpg,"$305,000",House For Sale,32 photos,Connie Francisco R E Group,2,1,800,
"217 39 Peck Avenue, Hollis Hills, NY",https://www.estately.com/listings/info/217-39-peck-avenue-hollis-hills-ny-11427,217_39_Peck_Avenue_Hollis_Hills_NY.jpg,"$1,358,000",House For Sale,28 photos,Daniel Gale Sothebys Intl Rlty,3,4,"1,850","5,079"
"33 29 158th Street, Flushing, NY",https://www.estately.com/listings/info/33-29-158th-street-flushing-ny-11358,33_29_158th_Street_Flushing_NY.jpg,"$1,798,888",House,1 photo,RE/MAX Team,5,5,"2,690","6,000"
"17 34 154 Street, Whitestone, NY",https://www.estately.com/listings/info/17-34-154-street-whitestone-ny-11357,17_34_154_Street_Whitestone_NY.jpg,"$1,788,888",Multifamily For Sale,25 photos,Keller Williams Rlty Landmark,6,5,–,"3,400"
"144 63 35th Avenue Unit 3B, Flushing, NY",https://www.estately.com/listings/info/144-63-35th-avenue-flushing-ny-11354--4,144_63_35th_Avenue_Unit3B_Flushing_NY.jpg,"$415,000",House For Sale,20 photos,Charles Rutenberg Realty Inc,2,1,–,
"403 Linden Boulevard, East Flatbush, NY",https://www.estately.com/listings/info/403-linden-boulevard-east-flatbush-ny-11203,403_Linden_Boulevard_East_Flatbush_NY.jpg,"$725,000",House,1 photo,Integrity Core Realty,3,1,"1,405","2,165"
"160 52 Willets Point Boulevard Unit 1st Fl, Whitestone, NY",https://www.estately.com/listings/info/160-52-willets-point-boulevard-whitestone-ny-11357,160_52_Willets_Point_Boulevard_Unit1st_Fl_Whitestone_NY.jpg,"$215,000",House For Sale,11 photos,Douglas Elliman Real Estate,1,1,600,
"139 15 83rd Avenue Unit 714, Briarwood, NY",https://www.estately.com/listings/info/139-15-83rd-avenue-briarwood-ny-11435--89,139_15_83rd_Avenue_Unit714_Briarwood_NY.jpg,"$325,000",House For Sale,12 photos,Douglas Elliman Real Estate,2,1,–,
"226 26 Union Turnpike Unit 2G, Oakland Gardens, NY",https://www.estately.com/listings/info/226-26-union-turnpike-oakland-gardens-ny-11364--18,226_26_Union_Turnpike_Unit2G_Oakland_Gardens_NY.jpg,"$270,000",House For Sale,8 photos,Charles Rutenberg Realty Inc,2,1,"1,100",
"21 04 30th Avenue, Long Island City, NY",https://www.estately.com/listings/info/21-04-30th-avenue-long-island-city-ny-11102,21_04_30th_Avenue_Long_Island_City_NY.jpg,"$2,400,000",Multifamily For Sale,29 photos,Mega Homes Realty Inc,3,6,"3,300","1,600"
"132 55 114th Place, South Ozone Park, NY",https://www.estately.com/listings/info/132-55-114th-south-ozone-park-ny-11420,132_55_114th_Place_South_Ozone_Park_NY.jpg,"$1,099,000",Multifamily For Sale,3 photos,Akcess24Homes Inc,4,3,–,"2,500"
"1200 Woodycrest Avenue Unit 5C, BRONX, NY",https://www.estately.com/listings/info/1200-woodycrest-avenue-bronx-ny-10452--1,1200_Woodycrest_Avenue_Unit5C_BRONX_NY.jpg,"$149,995",House For Sale,14 photos,Pantiga Group Inc.,2,1,776,
